prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
237,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,38,S ,2013-07-01,
238,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,748,R ,2011-07-01,2007-12-28
239,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,722,R ,2012-07-01,2008-12-27
240,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,869,R ,2013-07-01,
241,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,748,R ,2011-07-01,2007-12-28
242,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,722,R ,2012-07-01,2008-12-27
243,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,869,R ,2013-07-01,
244,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,748,R ,2011-07-01,2007-12-28
245,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,722,R ,2012-07-01,2008-12-27
246,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,869,R ,2013-07-01,
247,CO-RF-FR-R92R-52,HL Road Frame - Red- 52,748,R ,2011-07-01,2007-12-28
248,CO-RF-FR-R92R-52,HL Road Frame - Red- 52,722,R ,2012-07-01,2008-12-27
249,CO-RF-FR-R92R-52,HL Road Frame - Red- 52,869,R ,2013-07-01,
250,CO-RF-FR-R92R-56,HL Road Frame - Red- 56,748,R ,2011-07-01,2007-12-28
251,CO-RF-FR-R92R-56,HL Road Frame - Red- 56,722,R ,2012-07-01,2008-12-27
252,CO-RF-FR-R92R-56,HL Road Frame - Red- 56,869,R ,2013-07-01,
253,CO-RF-FR-R38B-58,LL Road Frame - Black- 58,176,R ,2011-07-01,2007-12-28
254,CO-RF-FR-R38B-58,LL Road Frame - Black- 58,170,R ,2012-07-01,2008-12-27
255,CO-RF-FR-R38B-58,LL Road Frame - Black- 58,205,R ,2013-07-01,
256,CO-RF-FR-R38B-60,LL Road Frame - Black- 60,176,R ,2011-07-01,2007-12-28
257,CO-RF-FR-R38B-60,LL Road Frame - Black- 60,170,R ,2012-07-01,2008-12-27
258,CO-RF-FR-R38B-60,LL Road Frame - Black- 60,205,R ,2013-07-01,
259,CO-RF-FR-R38B-62,LL Road Frame - Black- 62,176,R ,2011-07-01,2007-12-28
260,CO-RF-FR-R38B-62,LL Road Frame - Black- 62,170,R ,2012-07-01,2008-12-27
261,CO-RF-FR-R38B-62,LL Road Frame - Black- 62,205,R ,2013-07-01,
262,CO-RF-FR-R38R-44,LL Road Frame - Red- 44,181,R ,2011-07-01,2007-12-28
263,CO-RF-FR-R38R-44,LL Road Frame - Red- 44,187,R ,2012-07-01,2008-12-27
264,CO-RF-FR-R38R-48,LL Road Frame - Red- 48,181,R ,2011-07-01,2007-12-28
265,CO-RF-FR-R38R-48,LL Road Frame - Red- 48,187,R ,2012-07-01,2008-12-27
266,CO-RF-FR-R38R-52,LL Road Frame - Red- 52,181,R ,2011-07-01,2007-12-28
267,CO-RF-FR-R38R-52,LL Road Frame - Red- 52,187,R ,2012-07-01,2008-12-27
268,CO-RF-FR-R38R-58,LL Road Frame - Red- 58,181,R ,2011-07-01,2007-12-28
269,CO-RF-FR-R38R-58,LL Road Frame - Red- 58,187,R ,2012-07-01,2008-12-27
270,CO-RF-FR-R38R-60,LL Road Frame - Red- 60,181,R ,2011-07-01,2007-12-28
271,CO-RF-FR-R38R-60,LL Road Frame - Red- 60,187,R ,2012-07-01,2008-12-27
272,CO-RF-FR-R38R-62,LL Road Frame - Red- 62,181,R ,2011-07-01,2007-12-28
273,CO-RF-FR-R38R-62,LL Road Frame - Red- 62,187,R ,2012-07-01,2008-12-27
274,CO-RF-FR-R72R-44,ML Road Frame - Red- 44,352,R ,2011-07-01,2007-12-28
275,CO-RF-FR-R72R-48,ML Road Frame - Red- 48,352,R ,2011-07-01,2007-12-28
276,CO-RF-FR-R72R-52,ML Road Frame - Red- 52,352,R ,2011-07-01,2007-12-28
277,CO-RF-FR-R72R-58,ML Road Frame - Red- 58,352,R ,2011-07-01,2007-12-28
278,CO-RF-FR-R72R-60,ML Road Frame - Red- 60,352,R ,2011-07-01,2007-12-28
279,CO-RF-FR-R38B-44,LL Road Frame - Black- 44,176,R ,2011-07-01,2007-12-28
280,CO-RF-FR-R38B-44,LL Road Frame - Black- 44,170,R ,2012-07-01,2008-12-27
281,CO-RF-FR-R38B-44,LL Road Frame - Black- 44,205,R ,2013-07-01,
282,CO-RF-FR-R38B-48,LL Road Frame - Black- 48,176,R ,2011-07-01,2007-12-28
283,CO-RF-FR-R38B-48,LL Road Frame - Black- 48,170,R ,2012-07-01,2008-12-27
284,CO-RF-FR-R38B-48,LL Road Frame - Black- 48,205,R ,2013-07-01,
285,CO-RF-FR-R38B-52,LL Road Frame - Black- 52,176,R ,2011-07-01,2007-12-28
286,CO-RF-FR-R38B-52,LL Road Frame - Black- 52,170,R ,2012-07-01,2008-12-27
287,CO-RF-FR-R38B-52,LL Road Frame - Black- 52,205,R ,2013-07-01,
288,CO-MF-FR-M94S-42,HL Mountain Frame - Silver- 42,624,M ,2011-07-01,2007-12-28
289,CO-MF-FR-M94S-42,HL Mountain Frame - Silver- 42,661,M ,2012-07-01,2008-12-27
290,CO-MF-FR-M94S-42,HL Mountain Frame - Silver- 42,747,M ,2013-07-01,
291,CO-MF-FR-M94S-44,HL Mountain Frame - Silver- 44,707,M ,2011-07-01,2007-12-28
292,CO-MF-FR-M94S-52,HL Mountain Frame - Silver- 48,707,M ,2011-07-01,2007-12-28
293,CO-MF-FR-M94S-46,HL Mountain Frame - Silver- 46,624,M ,2011-07-01,2007-12-28
294,CO-MF-FR-M94S-46,HL Mountain Frame - Silver- 46,661,M ,2012-07-01,2008-12-27
295,CO-MF-FR-M94S-46,HL Mountain Frame - Silver- 46,747,M ,2013-07-01,
296,CO-MF-FR-M94B-42,HL Mountain Frame - Black- 42,617,M ,2011-07-01,2007-12-28
297,CO-MF-FR-M94B-42,HL Mountain Frame - Black- 42,654,M ,2012-07-01,2008-12-27
298,CO-MF-FR-M94B-42,HL Mountain Frame - Black- 42,739,M ,2013-07-01,
299,CO-MF-FR-M94B-44,HL Mountain Frame - Black- 44,699,M ,2011-07-01,2007-12-28
300,CO-MF-FR-M94B-48,HL Mountain Frame - Black- 48,699,M ,2011-07-01,2007-12-28
301,CO-MF-FR-M94B-46,HL Mountain Frame - Black- 46,617,M ,2011-07-01,2007-12-28
302,CO-MF-FR-M94B-46,HL Mountain Frame - Black- 46,654,M ,2012-07-01,2008-12-27
303,CO-MF-FR-M94B-46,HL Mountain Frame - Black- 46,739,M ,2013-07-01,
304,CO-MF-FR-M94B-38,HL Mountain Frame - Black- 38,617,M ,2011-07-01,2007-12-28
305,CO-MF-FR-M94B-38,HL Mountain Frame - Black- 38,654,M ,2012-07-01,2008-12-27
306,CO-MF-FR-M94B-38,HL Mountain Frame - Black- 38,739,M ,2013-07-01,
307,CO-MF-FR-M94S-38,HL Mountain Frame - Silver- 38,624,M ,2011-07-01,2007-12-28
308,CO-MF-FR-M94S-38,HL Mountain Frame - Silver- 38,661,M ,2012-07-01,2008-12-27
309,CO-MF-FR-M94S-38,HL Mountain Frame - Silver- 38,747,M ,2013-07-01,
