customer_key,order_count,unique_purchase_days,total_spent,first_purchase_date,last_purchase_date,loyalty_segment,avg_spend_per_order
432,4,4,12348,2011-12-21,2013-09-30,Occasional,3087
2593,4,4,14668,2012-01-02,2013-08-11,Occasional,3667
2606,4,4,14422,2012-01-21,2013-08-01,Occasional,3605.5
1130,4,4,13036,2012-05-25,2013-12-25,Occasional,3259
1315,4,4,13693,2012-08-16,2013-12-28,Occasional,3423.25
1299,4,4,13732,2012-08-21,2013-12-11,Occasional,3433
1078,4,4,198,2013-01-29,2014-01-18,Occasional,49.5
4173,4,4,285,2013-02-03,2013-11-13,Occasional,71.25
1056,4,4,122,2013-02-21,2014-01-16,Occasional,30.5
2186,4,4,150,2013-03-17,2013-07-21,Occasional,37.5
1432,4,4,224,2013-03-21,2014-01-08,Occasional,56
1364,4,4,532,2013-03-29,2013-10-01,Occasional,133
2942,4,4,375,2013-05-03,2013-12-19,Occasional,93.75
4252,4,4,410,2013-05-06,2014-01-28,Occasional,102.5
1946,4,4,462,2013-05-17,2014-01-25,Occasional,115.5
1148,4,4,359,2013-06-23,2013-11-13,Occasional,89.75
2176,4,4,627,2013-06-25,2014-01-27,Occasional,156.75
1167,4,4,302,2013-07-11,2013-11-11,Occasional,75.5
1075,4,3,461,2013-08-11,2013-10-26,Occasional,115.25
1159,4,4,412,2013-09-01,2013-12-12,Occasional,103
4762,4,4,378,2013-10-03,2014-01-26,Occasional,94.5
2259,4,4,11206,2011-01-05,2013-12-14,Occasional,2801.5
240,4,4,9894,2011-01-19,2013-05-28,Occasional,2473.5
414,4,4,9646,2011-08-10,2013-09-05,Occasional,2411.5
247,4,4,15408,2011-10-03,2013-12-20,Occasional,3852
1632,4,4,15607,2011-10-25,2013-06-07,Occasional,3901.75
2406,4,4,15586,2011-11-01,2013-07-24,Occasional,3896.5
3080,4,4,294,2013-01-28,2014-01-26,Occasional,73.5
2945,4,4,230,2013-02-06,2014-01-06,Occasional,57.5
1761,4,4,373,2013-03-22,2013-06-10,Occasional,93.25
1431,4,4,517,2013-04-20,2014-01-10,Occasional,129.25
2232,4,4,506,2013-04-24,2013-09-17,Occasional,126.5
1917,4,4,431,2013-05-10,2013-12-07,Occasional,107.75
1970,4,4,280,2013-05-15,2013-10-12,Occasional,70
2240,4,4,279,2013-05-24,2013-12-21,Occasional,69.75
2708,4,4,190,2013-08-29,2014-01-23,Occasional,47.5
2097,4,4,249,2013-10-15,2014-01-08,Occasional,62.25
422,4,4,12075,2011-11-03,2013-10-09,Occasional,3018.75
2578,4,4,16371,2012-01-21,2013-08-16,Occasional,4092.75
2759,4,4,284,2013-02-04,2013-12-17,Occasional,71
1531,4,4,548,2013-02-15,2013-12-08,Occasional,137
4827,4,4,203,2013-02-16,2014-01-21,Occasional,50.75
1108,4,4,322,2013-02-28,2013-07-29,Occasional,80.5
2268,4,4,195,2013-04-11,2014-01-06,Occasional,48.75
2475,4,4,768,2013-05-07,2013-10-21,Occasional,192
1098,4,4,326,2013-05-21,2014-01-19,Occasional,81.5
1141,4,4,154,2013-06-02,2013-10-29,Occasional,38.5
5668,4,4,65,2013-06-19,2014-01-21,Occasional,16.25
1204,4,4,388,2013-07-03,2014-01-05,Occasional,97
2989,4,4,336,2013-07-28,2013-10-02,Occasional,84
2265,4,4,9725,2011-01-03,2013-10-07,Occasional,2431.25
423,4,4,9458,2011-08-22,2013-11-03,Occasional,2364.5
238,4,4,15399,2011-09-05,2013-11-25,Occasional,3849.75
1651,4,4,15639,2011-10-06,2013-06-25,Occasional,3909.75
424,4,4,12288,2011-12-10,2013-10-20,Occasional,3072
3193,4,4,16555,2012-03-21,2013-08-03,Occasional,4138.75
1298,4,4,13751,2012-08-12,2013-11-09,Occasional,3437.75
1920,4,4,533,2013-02-12,2013-11-07,Occasional,133.25
2269,4,4,500,2013-02-13,2013-09-03,Occasional,125
1184,4,4,369,2013-02-19,2013-07-09,Occasional,92.25
1183,4,4,87,2013-03-14,2013-10-22,Occasional,21.75
1881,4,4,224,2013-05-13,2013-10-18,Occasional,56
3333,4,4,102,2013-06-06,2013-08-30,Occasional,25.5
2761,4,4,338,2013-06-13,2014-01-03,Occasional,84.5
3342,4,4,432,2013-07-10,2014-01-22,Occasional,108
2258,4,4,11419,2011-01-13,2013-12-06,Occasional,2854.75
244,4,4,9599,2011-02-21,2013-06-09,Occasional,2399.75
241,4,4,10000,2011-02-27,2013-05-13,Occasional,2500
251,4,4,9592,2011-03-17,2013-08-06,Occasional,2398
413,4,4,12351,2011-11-05,2013-10-11,Occasional,3087.75
428,4,4,12396,2011-12-20,2013-10-20,Occasional,3099
1124,4,4,10464,2012-02-10,2013-11-20,Occasional,2616
1129,4,4,13156,2012-05-01,2013-12-04,Occasional,3289
1126,4,4,13126,2012-05-15,2013-11-17,Occasional,3281.5
1292,4,4,13748,2012-07-23,2013-11-20,Occasional,3437
2256,4,4,11832,2012-12-02,2013-12-02,Occasional,2958
1166,4,4,304,2013-01-30,2013-07-05,Occasional,76
2861,4,4,123,2013-02-01,2014-01-19,Occasional,30.75
1985,4,4,358,2013-02-03,2013-10-29,Occasional,89.5
2096,4,4,639,2013-02-09,2013-12-22,Occasional,159.75
2145,4,4,351,2013-03-06,2013-09-06,Occasional,87.75
4245,4,4,319,2013-03-12,2013-10-27,Occasional,79.75
1965,4,4,190,2013-04-13,2013-11-16,Occasional,47.5
1971,4,4,641,2013-04-30,2013-10-22,Occasional,160.25
3085,4,4,162,2013-05-04,2013-08-27,Occasional,40.5
2072,4,4,214,2013-05-28,2013-12-31,Occasional,53.5
1107,4,4,169,2013-06-13,2013-10-12,Occasional,42.25
3078,4,4,204,2013-08-01,2013-10-19,Occasional,51
1937,4,4,335,2013-09-25,2013-10-20,Occasional,83.75
239,4,4,9996,2011-01-06,2013-04-30,Occasional,2499
2262,4,4,9565,2011-01-08,2013-09-30,Occasional,2391.25
245,4,4,9653,2011-02-12,2013-07-19,Occasional,2413.25
1334,4,4,15621,2011-06-18,2013-06-05,Occasional,3905.25
1324,4,4,15687,2011-06-24,2013-05-15,Occasional,3921.75
250,4,4,12303,2011-10-09,2013-09-15,Occasional,3075.75
1656,4,4,15902,2011-10-10,2013-06-17,Occasional,3975.5
2264,4,4,15828,2011-11-13,2013-07-06,Occasional,3957
2576,4,4,16448,2012-01-18,2013-08-03,Occasional,4112
1796,4,4,328,2013-02-03,2014-01-02,Occasional,82
1203,4,4,241,2013-02-05,2013-10-04,Occasional,60.25
1896,4,4,548,2013-02-16,2013-12-02,Occasional,137
2757,4,4,486,2013-03-01,2013-06-22,Occasional,121.5
1490,4,4,386,2013-03-20,2014-01-09,Occasional,96.5
1197,4,4,300,2013-04-10,2014-01-13,Occasional,75
2180,4,4,260,2013-04-15,2013-12-13,Occasional,65
1137,4,4,345,2013-04-24,2014-01-23,Occasional,86.25
5498,4,4,226,2013-05-31,2013-12-10,Occasional,56.5
2266,4,4,9649,2011-01-11,2013-11-05,Occasional,2412.25
2261,4,4,9647,2011-01-17,2013-08-13,Occasional,2411.75
3201,4,4,16437,2012-03-09,2013-09-28,Occasional,4109.25
1131,4,4,13516,2012-05-08,2013-11-14,Occasional,3379
1331,4,4,13442,2012-08-20,2013-12-24,Occasional,3360.5
1303,4,4,13690,2012-08-23,2013-12-26,Occasional,3422.5
1658,4,4,11823,2012-10-27,2013-12-23,Occasional,2955.75
2257,4,4,12025,2012-12-13,2013-12-25,Occasional,3006.25
2319,4,4,238,2013-02-12,2013-10-03,Occasional,59.5
1160,4,4,587,2013-02-24,2014-01-15,Occasional,146.75
1445,4,4,487,2013-03-03,2014-01-25,Occasional,121.75
1929,4,4,341,2013-03-19,2013-11-03,Occasional,85.25
4761,4,4,146,2013-03-23,2014-01-18,Occasional,36.5
1945,4,4,182,2013-03-26,2013-09-04,Occasional,45.5
2921,4,4,408,2013-04-07,2013-10-29,Occasional,102
2702,4,4,240,2013-04-30,2014-01-18,Occasional,60
1973,4,4,199,2013-05-21,2013-11-05,Occasional,49.75
1057,4,4,464,2013-06-14,2014-01-03,Occasional,116
1960,4,4,322,2013-07-09,2013-12-29,Occasional,80.5
1533,4,4,329,2013-09-26,2013-12-24,Occasional,82.25
2260,4,4,10449,2011-01-23,2013-11-18,Occasional,2612.25
2581,4,4,9815,2011-03-23,2013-12-27,Occasional,2453.75
2580,4,4,9772,2011-03-27,2013-11-18,Occasional,2443
2607,4,4,9515,2011-04-17,2013-12-27,Occasional,2378.75
1333,4,4,15597,2011-06-13,2013-06-24,Occasional,3899.25
429,4,4,12362,2011-12-05,2013-10-22,Occasional,3090.5
2596,4,4,16381,2012-01-13,2013-08-15,Occasional,4095.25
1134,4,4,10461,2012-02-11,2013-12-01,Occasional,2615.25
3186,4,4,16514,2012-03-17,2013-07-31,Occasional,4128.5
3187,4,4,14629,2012-03-20,2013-08-12,Occasional,3657.25
1062,4,4,210,2013-01-29,2013-09-29,Occasional,52.5
1296,4,4,414,2013-02-12,2013-09-26,Occasional,103.5
846,4,4,407,2013-02-13,2013-12-09,Occasional,101.75
1893,4,4,607,2013-02-14,2013-11-29,Occasional,151.75
2709,4,4,231,2013-02-25,2014-01-10,Occasional,57.75
5359,4,4,88,2013-03-08,2013-09-25,Occasional,22
1940,4,4,256,2013-03-22,2014-01-27,Occasional,64
2763,4,4,266,2013-03-27,2014-01-05,Occasional,66.5
2592,3,3,10763,2011-01-02,2013-07-10,Occasional,3587.67
26,3,3,8897,2011-01-06,2013-10-25,Occasional,2965.67
2,3,3,8792,2011-01-15,2013-12-10,Occasional,2930.67
2603,3,3,10854,2011-02-05,2013-06-30,Occasional,3618
8326,3,3,7282,2011-02-16,2013-11-14,Occasional,2427.33
2542,3,3,8856,2011-02-28,2013-06-30,Occasional,2952
335,3,3,10544,2011-03-04,2013-07-27,Occasional,3514.67
2795,3,3,9647,2011-03-30,2013-12-12,Occasional,3215.67
96,3,3,10523,2011-04-01,2013-06-25,Occasional,3507.67
100,3,3,10511,2011-04-07,2013-07-01,Occasional,3503.67
3526,3,3,9030,2011-04-08,2013-10-26,Occasional,3010
101,3,3,10516,2011-04-16,2013-08-07,Occasional,3505.33
2783,3,3,8947,2011-05-03,2013-10-15,Occasional,2982.33
3703,3,3,9207,2011-05-07,2013-10-06,Occasional,3069
107,3,3,10374,2011-05-18,2013-06-15,Occasional,3458
354,3,3,10373,2011-06-12,2013-08-08,Occasional,3457.67
3844,3,3,9080,2011-06-17,2013-11-26,Occasional,3026.67
450,3,3,10468,2011-06-19,2013-06-24,Occasional,3489.33
3771,3,3,9044,2011-06-28,2013-10-11,Occasional,3014.67
760,3,3,10349,2011-07-10,2013-07-09,Occasional,3449.67
751,3,3,10443,2011-07-14,2013-10-01,Occasional,3481
401,3,3,9399,2011-07-15,2013-07-19,Occasional,3133
3992,3,3,9114,2011-07-19,2013-12-09,Occasional,3038
4048,3,3,8989,2011-07-19,2013-12-19,Occasional,2996.33
3847,3,3,9134,2011-07-20,2013-11-10,Occasional,3044.67
4049,3,3,9080,2011-08-01,2013-12-01,Occasional,3026.67
4063,3,3,9092,2011-08-05,2013-12-20,Occasional,3030.67
3163,3,3,8792,2011-08-10,2013-12-19,Occasional,2930.67
253,3,3,9023,2011-08-14,2013-12-18,Occasional,3007.67
3182,3,3,10734,2011-08-24,2013-06-28,Occasional,3578
1511,3,3,8735,2011-08-27,2013-09-20,Occasional,2911.67
264,3,3,9167,2011-08-29,2013-12-10,Occasional,3055.67
897,3,3,10438,2011-09-01,2013-07-11,Occasional,3479.33
4355,3,3,10610,2011-09-03,2013-08-07,Occasional,3536.67
893,3,3,10439,2011-09-04,2013-07-22,Occasional,3479.67
902,3,3,10568,2011-09-10,2013-11-09,Occasional,3522.67
896,3,3,10539,2011-09-12,2013-07-25,Occasional,3513
4454,3,3,8970,2011-10-05,2013-12-14,Occasional,2990
920,3,3,10467,2011-10-05,2013-12-21,Occasional,3489
930,3,3,5065,2011-10-14,2013-12-17,Occasional,1688.33
943,3,3,5037,2011-10-15,2013-12-19,Occasional,1679
947,3,3,4697,2011-10-21,2013-12-22,Occasional,1565.67
8455,3,3,7383,2011-10-22,2013-12-26,Occasional,2461
918,3,3,10416,2011-10-27,2013-08-19,Occasional,3472
8477,3,3,7366,2011-11-03,2013-12-09,Occasional,2455.33
1004,3,3,10688,2011-11-06,2013-08-10,Occasional,3562.67
991,3,3,10624,2011-11-13,2013-08-22,Occasional,3541.33
494,3,3,9324,2011-11-14,2013-09-12,Occasional,3108
1003,3,3,10465,2011-11-24,2013-08-03,Occasional,3488.33
550,3,3,9489,2011-12-21,2013-12-12,Occasional,3163
1339,3,3,10560,2011-12-24,2013-08-17,Occasional,3520
5047,3,3,3962,2012-01-03,2013-11-30,Occasional,1320.67
4703,3,3,11465,2012-01-09,2013-09-01,Occasional,3821.67
1359,3,3,11223,2012-01-28,2013-09-04,Occasional,3741
7134,3,3,9100,2012-02-07,2013-09-09,Occasional,3033.33
1677,3,3,11225,2012-02-18,2013-09-06,Occasional,3741.67
1681,3,3,11312,2012-02-21,2013-09-17,Occasional,3770.67
1671,3,3,11199,2012-02-23,2013-09-12,Occasional,3733
4927,3,3,11569,2012-03-01,2013-07-09,Occasional,3856.33
4676,3,3,9589,2012-03-09,2013-08-14,Occasional,3196.33
4929,3,3,11556,2012-03-22,2013-07-23,Occasional,3852
1990,3,3,11231,2012-03-31,2013-10-06,Occasional,3743.67
3720,3,3,8026,2012-04-07,2013-12-23,Occasional,2675.33
2001,3,3,11235,2012-04-09,2013-10-23,Occasional,3745
1265,3,3,10102,2012-04-10,2013-05-25,Occasional,3367.33
1282,3,3,9608,2012-04-13,2013-04-03,Occasional,3202.67
1278,3,3,10075,2012-04-14,2013-05-25,Occasional,3358.33
1991,3,3,11220,2012-04-17,2013-10-01,Occasional,3740
2080,3,3,11096,2012-04-24,2013-11-01,Occasional,3698.67
2011,3,3,10170,2012-04-27,2013-10-12,Occasional,3390
1293,3,3,9371,2012-05-20,2013-11-07,Occasional,3123.67
3932,3,3,11571,2012-05-28,2013-06-28,Occasional,3857
6204,3,3,11525,2012-06-10,2013-11-16,Occasional,3841.67
5449,3,3,11472,2012-06-11,2013-10-16,Occasional,3824
1319,3,3,11177,2012-06-11,2013-03-08,Occasional,3725.67
1382,3,3,9633,2012-06-19,2013-04-18,Occasional,3211
2119,3,3,10084,2012-06-22,2013-12-23,Occasional,3361.33
1306,3,3,9349,2012-06-27,2013-10-29,Occasional,3116.33
1460,3,3,10054,2012-07-02,2013-06-16,Occasional,3351.33
5822,3,3,9656,2012-07-03,2013-08-19,Occasional,3218.67
2960,3,3,11245,2012-07-04,2013-12-10,Occasional,3748.33
2652,3,3,11269,2012-07-06,2013-12-20,Occasional,3756.33
2644,3,3,11190,2012-07-07,2013-12-02,Occasional,3730
1527,3,3,9831,2012-07-10,2013-10-01,Occasional,3277
2961,3,3,11450,2012-07-12,2013-12-23,Occasional,3816.67
2958,3,3,10029,2012-07-18,2013-12-21,Occasional,3343
2650,3,3,11226,2012-07-20,2013-12-15,Occasional,3742
2633,3,3,11247,2012-07-22,2013-12-17,Occasional,3749
1560,3,3,10073,2012-07-23,2013-08-18,Occasional,3357.67
3056,3,3,9634,2012-08-09,2013-12-28,Occasional,3211.33
6104,3,3,11506,2012-08-13,2013-11-25,Occasional,3835.33
3072,3,3,9987,2012-08-13,2013-07-31,Occasional,3329
3220,3,3,10223,2012-08-15,2013-08-27,Occasional,3407.67
1385,3,3,9449,2012-08-16,2013-04-10,Occasional,3149.67
3103,3,3,5737,2012-08-16,2013-08-01,Occasional,1912.33
4625,3,3,11632,2012-08-17,2013-09-23,Occasional,3877.33
3032,3,3,11403,2012-08-18,2013-12-10,Occasional,3801
3063,3,3,10017,2012-08-19,2013-08-16,Occasional,3339
3031,3,3,11341,2012-08-24,2013-12-10,Occasional,3780.33
3264,3,3,9992,2012-09-01,2013-12-11,Occasional,3330.67
3263,3,3,10061,2012-09-03,2013-12-07,Occasional,3353.67
3261,3,3,5786,2012-09-05,2013-09-01,Occasional,1928.67
3304,3,3,5685,2012-09-19,2013-09-20,Occasional,1895
3306,3,3,5700,2012-09-19,2013-10-05,Occasional,1900
1809,3,3,9480,2012-10-08,2013-12-27,Occasional,3160
5426,3,3,10221,2012-11-13,2013-10-02,Occasional,3407
1875,3,3,10004,2012-11-13,2013-10-05,Occasional,3334.67
7020,3,3,10184,2012-12-03,2013-11-27,Occasional,3394.67
8033,3,3,11434,2012-12-05,2013-12-13,Occasional,3811.33
5581,3,3,7907,2012-12-16,2013-08-04,Occasional,2635.67
7006,3,3,10353,2012-12-20,2013-11-19,Occasional,3451
484,3,3,9427,2012-12-22,2013-07-19,Occasional,3142.33
2518,3,3,10034,2012-12-22,2013-11-02,Occasional,3344.67
4857,3,3,171,2013-01-28,2014-01-07,Occasional,57
4479,3,3,253,2013-01-30,2013-08-23,Occasional,84.33
5134,3,3,235,2013-02-07,2014-01-04,Occasional,78.33
4499,3,3,544,2013-02-20,2013-09-24,Occasional,181.33
5772,3,3,175,2013-02-23,2013-09-21,Occasional,58.33
149,3,3,196,2013-03-07,2013-12-03,Occasional,65.33
5332,3,3,189,2013-03-09,2014-01-21,Occasional,63
5773,3,3,329,2013-03-15,2014-01-09,Occasional,109.67
3726,3,3,419,2013-03-18,2013-12-09,Occasional,139.67
3724,3,3,88,2013-03-20,2013-06-20,Occasional,29.33
1679,3,3,505,2013-03-25,2013-05-27,Occasional,168.33
4009,3,3,329,2013-03-26,2013-10-26,Occasional,109.67
7323,3,3,190,2013-04-05,2013-12-20,Occasional,63.33
4880,3,3,337,2013-04-06,2013-08-15,Occasional,112.33
3642,3,3,190,2013-04-08,2013-10-16,Occasional,63.33
5718,3,3,398,2013-04-11,2013-09-17,Occasional,132.67
124,3,3,220,2013-04-17,2014-01-25,Occasional,73.33
754,3,3,48,2013-04-19,2013-10-15,Occasional,16
1692,3,3,341,2013-04-24,2013-12-13,Occasional,113.67
3275,3,3,192,2013-04-28,2013-12-29,Occasional,64
4869,3,3,302,2013-05-19,2014-01-28,Occasional,100.67
5480,3,3,299,2013-05-26,2013-11-22,Occasional,99.67
3659,3,3,93,2013-06-04,2013-11-05,Occasional,31
5107,3,3,194,2013-06-04,2014-01-13,Occasional,64.67
122,3,3,58,2013-06-24,2013-11-04,Occasional,19.33
8802,3,3,387,2013-06-24,2013-09-21,Occasional,129
4573,3,3,175,2013-07-03,2013-10-14,Occasional,58.33
4198,3,3,332,2013-07-06,2014-01-17,Occasional,110.67
2202,3,3,73,2013-07-16,2013-12-06,Occasional,24.33
2160,3,3,278,2013-07-27,2013-12-15,Occasional,92.67
3686,3,3,240,2013-08-01,2013-10-22,Occasional,80
4163,3,3,225,2013-08-20,2013-11-20,Occasional,75
1607,3,3,545,2013-09-03,2014-01-25,Occasional,181.67
922,3,3,81,2013-09-19,2013-11-23,Occasional,27
2577,3,3,10719,2011-01-09,2013-06-21,Occasional,3573
2601,3,3,11038,2011-02-03,2013-07-03,Occasional,3679.33
51,3,3,5077,2011-02-20,2013-11-19,Occasional,1692.33
2766,3,3,9517,2011-03-02,2013-12-28,Occasional,3172.33
338,3,3,10482,2011-03-09,2013-07-19,Occasional,3494
2561,3,3,8773,2011-03-19,2013-08-24,Occasional,2924.33
2842,3,3,8919,2011-03-22,2013-10-17,Occasional,2973
344,3,3,10775,2011-04-04,2013-07-24,Occasional,3591.67
3428,3,3,10941,2011-04-06,2013-08-27,Occasional,3647
71,3,3,10460,2011-04-28,2013-06-26,Occasional,3486.67
108,3,3,10631,2011-05-01,2013-06-21,Occasional,3543.67
109,3,3,10489,2011-05-03,2013-06-23,Occasional,3496.33
125,3,3,10494,2011-05-05,2013-06-18,Occasional,3498
446,3,3,10393,2011-06-06,2013-06-28,Occasional,3464.33
382,3,3,10551,2011-06-12,2013-08-18,Occasional,3517
449,3,3,10445,2011-06-16,2013-06-21,Occasional,3481.67
358,3,3,5013,2011-06-18,2013-10-29,Occasional,1671
389,3,3,9307,2011-07-03,2013-04-26,Occasional,3102.33
3930,3,3,8941,2011-07-18,2013-11-04,Occasional,2980.33
3848,3,3,9185,2011-07-21,2013-11-19,Occasional,3061.67
3162,3,3,8905,2011-08-04,2013-11-03,Occasional,2968.33
4052,3,3,9015,2011-08-09,2013-11-30,Occasional,3005
4059,3,3,8952,2011-08-10,2013-12-04,Occasional,2984
3161,3,3,9069,2011-08-23,2013-10-09,Occasional,3023
899,3,3,10569,2011-09-14,2013-07-23,Occasional,3523
904,3,3,10403,2011-09-21,2013-07-13,Occasional,3467.67
4441,3,3,9149,2011-10-01,2013-12-25,Occasional,3049.67
8440,3,3,7539,2011-10-17,2013-12-02,Occasional,2513
915,3,3,10531,2011-10-18,2013-08-23,Occasional,3510.33
990,3,3,10435,2011-11-03,2013-08-06,Occasional,3478.33
996,3,3,10663,2011-11-08,2013-12-10,Occasional,3554.33
1001,3,3,10478,2011-11-16,2013-08-15,Occasional,3492.67
993,3,3,10461,2011-11-17,2013-12-11,Occasional,3487
4662,3,3,5277,2011-12-06,2013-12-03,Occasional,1759
1008,3,3,9459,2011-12-07,2013-09-21,Occasional,3153
1010,3,3,10654,2011-12-11,2013-08-13,Occasional,3551.33
2557,3,3,8932,2011-12-19,2013-11-18,Occasional,2977.33
495,3,3,9339,2011-12-23,2013-09-30,Occasional,3113
